ep_X,        pol3d,            quanta3d,         vol,      a,        b,        c,        shift
#_unitless,  coulomb/meter^2,  coulomb/meter^2,  Ang^3,    Ang,      Ang,      Ang,      Integer
-0.010,      0.0893723,        0.3733908,        374.082,  4.36232,  4.28766,  20,       0
-0.008,      0.0926008,        0.3733908,        374.837,  4.37111,  4.28764,  19.9999,  0
-0.006,      0.0958504,        0.3733908,        375.593,  4.37995,  4.28767,  20.0001,  0
-0.004,      0.0987372,        0.3733908,        376.349,  4.38873,  4.28764,  19.9999,  0
-0.002,      0.1015191,        0.3733908,        377.104,  4.39757,  4.28766,  20,       0
0.000,       0.1041305,        0.3733908,        377.86,   4.40635,  4.28763,  19.9999,  0
0.002,       0.1066757,        0.3733908,        378.616,  4.41519,  4.28766,  20,       0
0.004,       0.1091748,        0.3733908,        379.372,  4.42403,  4.28768,  20.0001,  0
0.006,       0.1115593,        0.3733908,        380.127,  4.43281,  4.28765,  20,       0
0.008,       0.1139406,        0.3733908,        380.883,  4.44165,  4.28768,  20.0001,  0
0.010,       0.1162383,        0.3733908,        381.639,  4.45043,  4.28765,  20,       0
