disp,        pIon,        pEle,       vol,     a,            b,            c,             shift
#_unitless,  e*Angst,     e*Angst,    Ang^3,   Ang,          Ang,          Ang,           Integer
0.00,        -0.00000,    -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.01,        -4.00000,    4.00000,    376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.02,        -8.00000,    8.00000,    376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.03,        -12.00000,   12.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.04,        -16.00000,   16.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.05,        -20.00000,   20.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.06,        -24.00000,   -16.00000,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.07,        -28.00000,   -12.00000,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.08,        -32.00000,   -8.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.09,        -36.00000,   -4.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.10,        -40.00000,   -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.20,        -80.00000,   -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.30,        -120.00000,  -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.40,        -160.00000,  -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.50,        -0.00000,    -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.60,        160.00000,   -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.70,        120.00000,   -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.80,        80.00000,    -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.90,        40.00000,    -0.00000,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
