ep_X,        pIon,      pEle,      vol,     a,            b,            c,             shift
#_unitless,  e*Angst,   e*Angst,   Ang^3,   Ang,          Ang,          Ang,           Integer
-0.010,      17.07224,  -1.48454,  372.46,  4.338533197,  4.292477857,  20.000000000,  0
-0.008,      17.12493,  -1.59478,  373.21,  4.347297911,  4.292477857,  20.000000000,  0
-0.006,      17.17739,  -1.70234,  373.97,  4.356062624,  4.292477857,  20.000000000,  0
-0.004,      17.22988,  -1.80867,  374.72,  4.364827338,  4.292477857,  20.000000000,  0
-0.002,      17.28404,  -1.92309,  375.47,  4.373592051,  4.292477857,  20.000000000,  0
0.000,       17.33540,  -2.02083,  376.22,  4.382356765,  4.292477857,  20.000000000,  0
0.002,       17.38410,  -2.10270,  376.98,  4.391121478,  4.292477857,  20.000000000,  0
0.004,       17.43395,  -2.18990,  377.73,  4.399886192,  4.292477857,  20.000000000,  0
0.006,       17.48318,  -2.27284,  378.48,  4.408650906,  4.292477857,  20.000000000,  0
0.008,       17.53440,  -2.36559,  379.23,  4.417415619,  4.292477857,  20.000000000,  0
0.010,       17.58315,  -2.44397,  379.99,  4.426180333,  4.292477857,  20.000000000,  0
