disp_Z,      pIon,       pEle,       pTot,      vol,     a,            b,            c,             shift
#_unitless,  e*Angst,    e*Angst,    e*Angst,   Ang^3,   Ang,          Ang,          Ang,           Integer
00,          186.02856,  186.02854,  0.00002,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
01,          186.41836,  186.39815,  0.02021,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
02,          186.80816,  186.76878,  0.03938,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
03,          187.19796,  187.14417,  0.05379,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
04,          187.58776,  187.52413,  0.06363,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
05,          187.97736,  187.91276,  0.06460,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
06,          188.36716,  188.31277,  0.05439,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
07,          188.75696,  188.72072,  0.03624,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
08,          189.14676,  189.13111,  0.01565,   344.42,  3.153160699,  3.153160699,  40.000000000,  0
09,          189.53656,  189.53932,  -0.00276,  344.42,  3.153160699,  3.153160699,  40.000000000,  0
10,          189.92636,  189.94530,  -0.01894,  344.42,  3.153160699,  3.153160699,  40.000000000,  0
11,          189.92636,  189.94530,  -0.01894,  344.42,  3.153160699,  3.153160699,  40.000000000,  0
12,          190.31616,  190.34901,  -0.03285,  344.42,  3.153160699,  3.153160699,  40.000000000,  0
13,          190.70596,  190.75061,  -0.04465,  344.42,  3.153160699,  3.153160699,  40.000000000,  0
14,          191.09576,  191.15041,  -0.05465,  344.42,  3.153160699,  3.153160699,  40.000000000,  0
15,          191.48556,  191.54882,  -0.06326,  344.42,  3.153160699,  3.153160699,  40.000000000,  0
