 PIEZOELECTRIC TENSOR (including local field effects)  for field in x, y, z        (C/m^2)
          XX          YY          ZZ          XY          YZ          ZX
  --------------------------------------------------------------------------------
  x    -0.00001     0.00006    -0.00002    -0.15320     0.00000     0.00000
  y    -0.14840     0.05200     0.04256     0.00004    -0.00000     0.00000
  z    -0.00001    -0.00002     0.00000     0.00000     0.00372     0.00002
--
 PIEZOELECTRIC TENSOR IONIC CONTR  for field in x, y, z        (C/m^2)
          XX          YY          ZZ          XY          YZ          ZX
  --------------------------------------------------------------------------------
  x    -0.00047    -0.00028     0.00023     2.01361     0.00012    -0.00009
  y     0.67493     1.20990    -0.03877    -0.00005     0.00005     0.00003
  z    -0.00001    -0.00001    -0.00003    -0.00001    -0.00440    -0.00010
