polAxis,  epsilon,  pIon,      pEle,      vol,     a,            b,            c,             shift
#Int,     Float,    e*Angst,   e*Angst,   Ang^3,   Ang,          Ang,          Ang,           Integer
2,        -0.005,   -5.79677,  -1.91161,  394.89,  3.363599539,  5.796796198,  20.252588272,  0
2,        -0.004,   -5.80260,  -1.91933,  395.28,  3.363599539,  5.802622124,  20.252588272,  0
2,        -0.003,   -5.80843,  -1.92704,  395.68,  3.363599539,  5.808448050,  20.252588272,  0
2,        -0.002,   -5.81425,  -1.93481,  396.08,  3.363599539,  5.814273975,  20.252588272,  0
2,        -0.001,   -5.82008,  -1.94233,  396.47,  3.363599539,  5.820099901,  20.252588272,  0
2,        0.000,    -5.82590,  -1.95006,  396.87,  3.363599539,  5.825925827,  20.252588272,  0
2,        0.001,    -5.83173,  -1.95796,  397.27,  3.363599539,  5.831751753,  20.252588272,  0
2,        0.002,    -5.83756,  -1.96526,  397.67,  3.363599539,  5.837577679,  20.252588272,  0
2,        0.003,    -5.84338,  -1.97296,  398.06,  3.363599539,  5.843403604,  20.252588272,  0
2,        0.004,    -5.84921,  -1.98062,  398.46,  3.363599539,  5.849229530,  20.252588272,  0
2,        0.005,    -5.85503,  -1.98834,  398.86,  3.363599539,  5.855055456,  20.252588272,  0
